=== CHECKING PEMBELAJARAN MAPEL & AGENDAS ===

ID PM: 9 | Mapel: Matematika (ID:1) | Tingkat: VII (ID:1) | Rombel: Az Zahrawi | Sem: Genap | TP: 2024/2025 | Judul:  | Total Agenda: 0
ID PM: 10 | Mapel: Bahasa Indonesia (ID:2) | Tingkat: VII (ID:1) | Rombel: Az Zahrawi | Sem: Genap | TP: 2024/2025 | Judul:  | Total Agenda: 0
ID PM: 11 | Mapel: Bahasa Inggris (ID:3) | Tingkat: VII (ID:1) | Rombel: Az Zahrawi | Sem: Genap | TP: 2024/2025 | Judul:  | Total Agenda: 0
ID PM: 12 | Mapel: Seni Budaya (ID:11) | Tingkat: VII (ID:1) | Rombel: Az Zahrawi | Sem: Genap | TP: 2024/2025 | Judul:  | Total Agenda: 0
ID PM: 13 | Mapel: Matematika (ID:1) | Tingkat: VII (ID:1) | Rombel: Al Maturidi | Sem: Genap | TP: 2024/2025 | Judul:  | Total Agenda: 0
ID PM: 14 | Mapel: Bahasa Inggris (ID:3) | Tingkat: VII (ID:1) | Rombel: Al Maturidi | Sem: Genap | TP: 2024/2025 | Judul:  | Total Agenda: 0
ID PM: 15 | Mapel: Seni Budaya (ID:11) | Tingkat: VII (ID:1) | Rombel: Al Maturidi | Sem: Genap | TP: 2024/2025 | Judul:  | Total Agenda: 0
ID PM: 16 | Mapel: Informatika (ID:9) | Tingkat: X (ID:4) | Rombel: Al Jazari | Sem: Genap | TP: 2024/2025 | Judul:  | Total Agenda: 0
ID PM: 51 | Mapel: Matematika (ID:1) | Tingkat: VIII (ID:2) | Rombel: Al Maturidi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 52 | Mapel: Bahasa Indonesia (ID:2) | Tingkat: VIII (ID:2) | Rombel: Al Maturidi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 53 | Mapel: Bahasa Inggris (ID:3) | Tingkat: VIII (ID:2) | Rombel: Al Maturidi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
ID PM: 54 | Mapel: Pendidikan Agama & Budi Pekerti (ID:4) | Tingkat: VIII (ID:2) | Rombel: Al Maturidi | Sem: Ganjil | TP: 2026/2027 | Judul:  | Total Agenda: 0
